Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,7017.317871,7036.538086,6990.900879,7012.068848,7012.068848,164098100
2022-11-30,7012.108887,7081.312988,6993.695801,7081.312988,7081.312988,273493300
2022-12-01,7081.194824,7090.276855,7018.269043,7020.803223,7020.803223,167994300
2022-12-02,7020.803223,7021.813965,6967.950195,7019.639160,7019.639160,139459800
2022-12-05,7019.639160,7053.902832,6987.328125,6987.328125,6987.328125,165306000
2022-12-06,6987.368164,6987.368164,6862.564941,6892.569824,6892.569824,149697900
2022-12-07,6892.569824,6892.663086,6799.299805,6818.751953,6818.751953,158724300
2022-12-08,6818.791016,6821.050781,6683.628906,6804.227051,6804.227051,162316700
2022-12-09,6804.227051,6804.227051,6695.381836,6715.118164,6715.118164,127123900
2022-12-12,6715.118164,6734.452148,6641.810059,6734.452148,6734.452148,134471100
2022-12-13,6734.491211,6826.116211,6714.872070,6810.315918,6810.315918,396136700
2022-12-14,6810.355957,6854.098145,6774.131836,6801.749023,6801.749023,215430000
2022-12-15,6801.789063,6801.837891,6740.955078,6751.859863,6751.859863,145093400
2022-12-16,6751.859863,6812.192871,6693.765137,6812.192871,6812.192871,156126900
2022-12-19,6812.153809,6827.814941,6754.087891,6779.698242,6779.698242,127896600
2022-12-20,6779.698242,6792.203125,6715.044922,6768.315918,6768.315918,151817000
2022-12-21,6768.315918,6820.663086,6763.696777,6820.663086,6820.663086,139079800
2022-12-22,6820.702148,6844.121094,6800.617188,6824.432129,6824.432129,129012900
2022-12-23,6824.393066,6824.393066,6784.586914,6800.672852,6800.672852,120430300
2022-12-26,6800.712891,6858.146973,6796.166992,6835.808105,6835.808105,117543200
2022-12-27,6835.847168,6933.889160,6835.662109,6923.026855,6923.026855,121669200
2022-12-28,6923.065918,6953.039063,6828.140137,6850.520020,6850.520020,120571100
2022-12-29,6850.520020,6879.584961,6786.981934,6860.077148,6860.077148,141016100
2022-12-30,6860.116211,6888.735840,6838.588867,6850.619141,6850.619141,129302000
2023-01-02,6850.740234,6856.889160,6823.479004,6850.983887,6850.983887,109645000
2023-01-03,6850.983887,6908.001953,6838.574219,6888.757813,6888.757813,156894900
2023-01-04,6888.798828,6900.603027,6813.238770,6813.238770,6813.238770,142541400
2023-01-05,6813.279785,6813.421875,6621.986816,6653.840820,6653.840820,180589300
2023-01-06,6653.759766,6708.637207,6598.645996,6684.558105,6684.558105,109855600
2023-01-09,6684.558105,6726.965820,6638.645996,6688.265137,6688.265137,135949700
2023-01-10,6688.265137,6690.229004,6570.243164,6622.499023,6622.499023,144817300
2023-01-11,6622.539063,6622.794922,6557.919922,6584.453125,6584.453125,124903900
2023-01-12,6584.494141,6662.229004,6574.088867,6629.934082,6629.934082,148901900
2023-01-13,6629.934082,6658.476074,6600.594238,6641.830078,6641.830078,165594900
2023-01-16,6641.830078,6688.057129,6627.696777,6688.057129,6688.057129,154893500
2023-01-17,6688.057129,6801.871094,6688.057129,6767.339844,6767.339844,217634400
2023-01-18,6767.178223,6790.164063,6721.463867,6765.786133,6765.786133,194959200
2023-01-19,6765.746094,6820.984863,6754.551758,6819.907227,6819.907227,154234600
